genre,score,writer,star,budget,gross,company,runtime
Drama,6.9,Lem Dobbs,Jeremy Irons,11000000,1059071,Baltimore Pictures,98
Comedy,5.8,Tom DiCillo,Brad Pitt,500000,90091,Arena,97
Comedy,6.0,Parker Bennett,Ethan Hawke,10000000,6166819,Orion Pictures,97
Comedy,5.8,Neil Simon,Kim Basinger,26000000,12454768,Hollywood Pictures,115
Drama,6.4,Jean Genet,Edith Meeks,250000,787280,Bronze Eye Productions,85
Comedy,5.3,Emlyn Williams,John Goodman,23000000,52487045,Universal Pictures,97
Comedy,5.3,Reginald Hudlin,Christopher Reid,5000000,19438638,"Jackson/McHenry Company,The",94
Action,6.0,David C. Wilson,Jeff Speakman,10000000,14061361,Paramount Pictures,83
Crime,6.5,Simon Moore,Liam Neeson,6000000,221295,Carnival Film & Television,99
Animation,6.8,Robin Lyons,Claire Bloom,10000000,2105078,Siriol Productions,82
Drama,6.6,Calder Willingham,Laura Dern,7500000,6266621,Carolco Pictures,112
Comedy,5.8,Francis Veber,Martin Short,17010000,24941969,Hivemind,96
Action,5.9,Robert T. Megginson,Bryan Brown,16400000,21082165,Orion Pictures,108
Mystery,5.7,William Reilly,Demi Moore,8000000,18784957,Columbia Pictures,103
Comedy,5.4,Ziggy Steinberg,Richard Pryor,17000000,2865916,TriStar Pictures,98
Comedy,6.4,Neal Jimenez,Bette Midler,40000000,23202444,All Girl Productions,138
Action,4.1,Andre Norton,Marc Singer,6000000,869325,Les Films 21,107
Action,4.9,Duncan Gibbins,Gregory Hines,13000000,5451119,Nelson Entertainment,99
Comedy,5.9,Chester Himes,Forest Whitaker,8000000,10438504,Palace Pictures,115
Comedy,5.6,Sam Simon,Joe Pesci,22000000,11000863,Largo Entertainment,95
Drama,6.8,Peter Matthiessen,Tom Berenger,36000000,1345903,The Saul Zaentz Company,189
Drama,6.3,Kevin Wade,John Cusack,20000000,418807,Paramount Pictures,111
Crime,5.7,Ira Levin,Matt Dillon,15000000,15429177,Universal Pictures,94
Adventure,4.9,Jim Strain,Cindy Williams,10000000,8667684,TriStar Pictures,89
Horror,5.6,Pierre Boileau,Jeff Fahey,10000000,9188150,Paramount Pictures,88
Action,5.9,Heywood Gould,Michael Keaton,4000000,11276846,Hollywood Pictures,114
Comedy,6.5,Malia Scotch Marmo,Richard Dreyfuss,16000000,14851083,Cinecom Entertainment Group,115
Action,5.1,Sidney J. Furie,Ken Wahl,19000000,939277,Nelson Entertainment,96
Action,6.2,Dennis Shryack,Patrick Dempsey,16000000,4409328,Hollywood Pictures,91
Action,5.6,Nicholas Meyer,Gene Hackman,18000000,1501785,Pathé Entertainment,98
Crime,7.3,John Sayles,Vincent Spano,3000000,1345015,Esperanza Films Inc.,129
Mystery,5.9,Mike Figgis,Kevin Anderson,6900000,133645,Initial Entertainment Group (IEG),112
Drama,7.1,Radha Bharadwaj,Madeleine Stowe,4000000,259012,Imagine Entertainment,89
Drama,6.4,Mark Andrus,Peter Berg,14000000,8906823,Castle Rock Entertainment,99
Crime,8.3,Quentin Tarantino,Harvey Keitel,1200000,2913644,Live Entertainment,99
Drama,7.0,Joe Eszterhas,Michael Douglas,49000000,352927224,Carolco Pictures,127
Horror,6.6,Clive Barker,Virginia Madsen,6000000,25795897,Candyman Films,99
Comedy,7.6,Dale Launer,Joe Pesci,11000000,64088552,Twentieth Century Fox,120
Action,7.7,James Fenimore Cooper,Daniel Day-Lewis,40000000,75505856,Morgan Creek Entertainment,112
Horror,7.4,Bram Stoker,Gary Oldman,40000000,215862692,American Zoetrope,128
Drama,8.2,David Webb Peoples,Clint Eastwood,14400000,159157447,Warner Bros.,130
Drama,7.7,Aaron Sorkin,Tom Cruise,41000000,243240178,Columbia Pictures,138
Comedy,7.3,Kim Wilson,Tom Hanks,40000000,132440069,Columbia Pictures,128
Action,6.3,Lawrence Kasdan,Kevin Costner,25000000,411006740,Kasdan Pictures,129
Drama,8.0,Giovanni Arpino,Al Pacino,31000000,134095253,Universal Pictures,156
Action,7.0,Bob Kane,Michael Keaton,80000000,266892996,Warner Bros.,126
Comedy,6.6,Steven Brill,Emilio Estevez,10000000,50752337,Avnet/Kerner Productions,104
Animation,8.0,Ron Clements,Scott Weinger,28000000,504050219,Walt Disney Pictures,90
Comedy,6.4,Paul Rudnick,Whoopi Goldberg,31000000,231605150,Touchstone Pictures,100
Action,6.5,Dan O'Bannon,Sigourney Weaver,50000000,159814498,Twentieth Century Fox,114
Comedy,6.6,Martin Donovan,Meryl Streep,55000000,149022650,Universal Pictures,104
Adventure,6.6,Bob Dolman,Tom Cruise,60000000,137783840,Imagine Films Entertainment,140
Action,6.5,J.F. Lawton,Steven Seagal,35000000,156563139,Warner Bros.,103
Action,6.9,Michael Tolkin,Laurence Fishburne,8000000,16639799,Image Organization,107
Drama,6.4,John Lutz,Bridget Fonda,16000000,48017402,Columbia Pictures,107
Animation,4.9,Michael Grais,Gabriel Byrne,30000000,14110589,Bakshi Animation,102
Crime,7.7,David Mamet,Al Pacino,12500000,10725228,New Line Cinema,100
Comedy,7.0,Mike Myers,Mike Myers,20000000,183097323,Paramount Pictures,94
Comedy,7.5,Sam Raimi,Bruce Campbell,11000000,11502976,Dino De Laurentiis Company,81
Drama,7.2,Norman Maclean,Craig Sheffer,12000000,43440294,Allied Filmmakers,123
Drama,7.3,David Lynch,Sheryl Lee,10000000,4184990,New Line Cinema,134
Action,6.0,Richard Rothstein,Jean-Claude Van Damme,23000000,36299898,StudioCanal,102
Action,5.7,Joss Whedon,Kristy Swanson,7000000,16624456,Twentieth Century Fox,86
Fantasy,5.3,Stephen King,Brian Krause,15000000,30524763,Columbia Pictures,91
Biography,7.5,David Robinson,Robert Downey Jr.,31000000,9493259,Carolco Pictures,143
Adventure,6.8,John Hughes,Macaulay Culkin,28000000,358994850,Twentieth Century Fox,120
Drama,6.6,Amanda Silver,Annabella Sciorra,11700000,88036683,Hollywood Pictures,110
Drama,6.9,Bob Tzudiker,Christian Bale,15000000,2819485,Touchwood Pacific Partners 1,121
Biography,7.7,Alex Haley,Denzel Washington,33000000,48169910,Largo International N.V.,202
Action,6.9,Tom Clancy,Harrison Ford,45000000,178051587,Mace Neufeld Productions,117
Comedy,7.5,Stephen Sinclair,Timothy Balme,3000000,242623,WingNut Films,104
Drama,5.4,Melissa Goddard,Drew Barrymore,3000000,1829804,New Line Cinema,93
Comedy,7.1,Phil Alden Robinson,Robert Redford,23000000,105232691,Parkes/Lasker productions,126
Horror,5.4,Stephen King,Jeff Fahey,10000000,32100816,Allied Vision,108
Comedy,7.5,Michael Tolkin,Tim Robbins,8000000,21706101,Avenue Pictures,124
Comedy,5.8,George Zaloom,Sean Astin,7000000,40693477,Encino Man Productions,88
Action,6.7,Jeffrey Boam,Mel Gibson,35000000,321731527,Warner Bros.,118
Biography,7.2,Floyd Mutrux,Edward James Olmos,16000000,13086430,Hivemind,125
Action,6.9,Robert Rodriguez,Carlos Gallardo,7000,2040920,Columbia Pictures,81
Drama,7.2,Pascal Bruckner,Hugh Grant,5000000,1862805,Canal+,139
Fantasy,4.9,Richard Outten,Edward Furlong,8000000,17092453,Paramount Pictures,100
Crime,7.1,Zoë Lund,Harvey Keitel,1000000,2038916,Bad Lt. Productions,96
Animation,6.5,Jim Cox,Samantha Mathis,24000000,32710894,FAI Films,76
Comedy,6.1,Mark Stein,Steve Martin,26000000,94900635,Imagine Entertainment,102
Drama,6.9,Dick Wolf,Brendan Fraser,18000000,14715067,Paramount Pictures,106
Biography,6.6,David Mamet,Jack Nicholson,35000000,29302121,Twentieth Century Fox,140
Action,7.1,Ernest R. Dickerson,Omar Epps,5000000,20146880,Island World,95
Action,5.3,Kenny Kim,Victor Wong,6500000,29000301,Touchstone Pictures,84
Horror,5.5,Peter Atkins,Terry Farrell,5000000,12534961,Fifth Avenue Entertainment,97
Drama,4.5,Brad Mirman,Madonna,30000000,13273595,Constantin Film,99
Adventure,4.9,Stuart Gordon,Rick Moranis,40000000,58662452,Touchwood Pacific Partners 1,89
Adventure,5.8,John Dwyer,Kurt Russell,24000000,22518097,Touchstone Pictures,100
Action,5.9,Stewart Raffill,Wesley Snipes,15000000,44065653,Warner Bros.,84
Horror,4.3,A L Katz,Terence Knox,900000,6980986,Fifth Avenue Entertainment,92
Drama,7.0,David Mickey Evans,Lorraine Bracco,35000000,4651977,Columbia Pictures,114
Crime,6.1,Brian De Palma,John Lithgow,12000000,37170057,Pacific Western,92
Biography,7.2,Virginia Woolf,Tilda Swinton,4000000,5378172,Adventure Pictures,94
Action,6.5,Djordje Milicevic,James Marshall,20000000,9223441,Columbia Pictures,101
Action,6.2,Gary Scott Thompson,Rutger Hauer,7000000,5430822,Challenge Film Corporation,90
Animation,5.4,Dennis Marks,Richard Kind,8000000,3560469,Turner Pictures (I),84
Adventure,5.1,Valerie Curtin,Robin Williams,43000000,23278931,Baltimore Pictures,118
Adventure,6.5,Rose Bosch,Gérard Depardieu,47000000,7191399,Gaumont,154
Drama,7.0,Rex McGee,George Strait,10000000,15164458,Warner Bros.,112
Comedy,5.5,Barry W. Blaustein,Eddie Murphy,42000000,131052444,Paramount Pictures,117
Drama,7.2,Bryce Courtenay,Stephen Dorff,18000000,2827107,Alcor Films,127
Adventure,6.0,Tom Schulman,Sean Connery,40000000,45500797,Hollywood Pictures,106
Comedy,5.8,Andrew Bergman,James Caan,25000000,35208854,Castle Rock Entertainment,96
Crime,6.8,John Fusco,Val Kilmer,15000000,22660758,TriStar Pictures,119
Action,4.3,Blake Snyder,Sylvester Stallone,45000000,70611210,Northern Lights Entertainment,87
Action,6.2,Michael Wolk,Anne Parillaud,20000000,4943279,Warner Bros.,112
Biography,7.3,George Miller,Nick Nolte,30000000,7286388,Universal Pictures,129
Drama,5.9,Robert Berger,Richard Gere,32000000,28590665,Warner Bros.,124
Adventure,6.2,Tom S. Parker,John Ritter,25000000,10736401,Morgan Creek Entertainment,88
Crime,5.7,Matthew Chapman,Kevin Kline,18000000,21591728,Hollywood Pictures,99
Action,5.9,Troy Neighbors,Christopher Lambert,8000000,6739141,Davis Entertainment,95
Comedy,5.9,Rodolfo Sonego,John Candy,18000000,8669847,Ascot Film,94
Adventure,5.4,Chris Matheson,Teri Garr,14000000,2034470,Home Box Office (HBO),88
Action,6.9,Edward Tang,Jackie Chan,900000,16270600,Golden Harvest Company,91
Crime,6.3,Bruce Robinson,Andy Garcia,20000000,11390479,Paramount Pictures,124
Comedy,6.0,H.F. Saint,Chevy Chase,40000000,14358033,Warner Bros.,99
Comedy,7.0,Rita Rudner,Hugh Laurie,5000000,4058564,British Broadcasting Corporation (BBC),101
Action,5.4,Robert Sheckley,Emilio Estevez,30000000,17129026,Morgan Creek Entertainment,110
Drama,7.1,Laura Esquivel,Marco Leonardi,2000000,21744201,Consejo Nacional para la Cultura y las Artes (CONACULTA),105
Comedy,7.5,Michael Frayn,Michael Caine,12000000,2280148,Touchstone Pictures,101
Comedy,6.1,Michael Swerdlick,Christopher Reid,7500000,13272113,Warner Bros.,98
Drama,7.0,Leonard Wise,James Woods,17000000,4836637,Metro-Goldwyn-Mayer (MGM),98
Action,5.9,Bruce A. Evans,Christian Slater,10000000,21142815,Dino de Laurentiis Communications,102
Action,5.5,Damon Wayans,Damon Wayans,10000000,40227006,Columbia Pictures,89
Comedy,7.5,Woody Allen,Woody Allen,20000000,10555619,Jack Rollins & Charles H. Joffe Productions,108
Action,6.3,Bob Gale,Bill Paxton,14000000,13249535,Universal Pictures,101
Action,6.3,Cindy Cirile,Brandon Lee,10000000,14356479,Twentieth Century Fox,95
Action,6.4,Jeff Benjamin,Matthew Modine,29000000,5519569,American Zoetrope,126
Comedy,6.5,Laura Ziskin,Dustin Hoffman,42000000,19507345,Columbia Pictures,119
Crime,6.8,Stephen Milburn Anderson,Glenn Plummer,4000000,1373196,Enchantment Films Inc.,98
Comedy,7.7,Charles Dickens,Michael Caine,12000000,32574382,Walt Disney Pictures,85
Comedy,6.0,Theo Pelletier,Tom Selleck,40000000,20883046,DENTSU Music And Entertainment,108
Crime,5.8,Scott Sommer,Goldie Hawn,14000000,3052738,Hawn / Sylbert Movie Company,100
Drama,6.6,Graham Swift,Jeremy Irons,10000000,1100218,British Screen Productions,95
Comedy,5.9,Marty Kaplan,Eddie Murphy,50000000,46666502,Hollywood Pictures,112
Action,6.0,Daniel Pyne,Willem Dafoe,22000000,9011574,Morgan Creek Entertainment,101
Crime,6.1,Brad Mirman,Christopher Lambert,9000000,923418,Cineplex Odeon Films,116
Crime,6.8,Paul Schrader,Willem Dafoe,5000000,1055987,Carolco Pictures,103
Drama,7.2,William Wharton,Peter Berg,5000000,1526697,A&M Films,108
Crime,5.6,Robert J. Avrech,Melanie Griffith,18000000,12282994,Hollywood Pictures,110
Crime,6.6,Michael Hitchcock,Dermot Mulroney,3000000,390152,Cinetel Films,105
Drama,7.4,John Sayles,Mary McDonnell,3330000,4814619,Atchafalaya,135
Crime,6.7,Peter Silverman,Jeff Bridges,10000000,384048,Avenue Pictures,113
Adventure,4.5,Mario Puzo,Marlon Brando,40000000,8251071,Christopher Columbus Productions,120
Crime,6.5,Howard Franklin,Joe Pesci,15000000,3067917,Universal Pictures,99
Comedy,6.1,Ron Cutler,Ray Liotta,18000000,6375979,Orion Pictures,100
Drama,6.4,Oscar Hijuelos,Armand Assante,15500000,6742168,Alcor Films,104
Drama,6.5,Dominique Lapierre,Patrick Swayze,27000000,14683921,Allied Filmmakers,132
Drama,6.6,Don Roos,Michelle Pfeiffer,18000000,1014726,Orion Pictures,105
Comedy,5.9,Billy Crystal,Billy Crystal,43000000,13351357,Castle Rock Entertainment,119
Action,6.5,Barry Wong,Jackie Chan,10000000,8359717,Golden Way Films Ltd.,104
Comedy,6.5,Gregg Araki,Mike Dytri,22769,692585,Desperate Pictures,81
Crime,7.2,Hal Hartley,Robert John Burke,3000000,143010,American Playhouse,105
Crime,5.5,Matthew Bright,Drew Barrymore,800000,114516,Zeta Entertainment,97
Comedy,5.7,Robert Klane,Tom Selleck,15000000,6132924,Penta Pictures,107
Comedy,5.8,Gerald Kersh,Robert De Niro,20000000,6202756,Penta Films,105
Drama,5.6,Christopher Crowe,Annabella Sciorra,18000000,11124511,Paramount Pictures,103
Comedy,4.7,Carole Eastman,Jack Nicholson,30000000,4096030,Penta Entertainment,100
Mystery,5.0,Robert Dillon,Andie MacDowell,24000000,608866,Majestic Films International,90
Drama,6.8,Neal Jimenez,Eric Stoltz,2700000,1723319,No Frills Film Production,106
Comedy,5.1,Grace Cary Bickley,Penelope Ann Miller,13000000,3721911,In The Bag Productions,89
Action,7.8,Kevin Jarre,Kurt Russell,25000000,56505065,Hollywood Pictures,130
Action,8.1,Michael Crichton,Sam Neill,63000000,1033928303,Universal Pictures,127
Comedy,7.6,Richard Linklater,Jason London,6900000,7993039,Gramercy Pictures (I),102
Biography,8.9,Thomas Keneally,Liam Neeson,22000000,322161245,Universal Pictures,195
Crime,7.9,Quentin Tarantino,Christian Slater,13000000,13088850,Morgan Creek Entertainment,119
Adventure,6.7,J.D. Shapiro,Cary Elwes,20000000,35739755,Brooksfilms,104
Crime,7.8,Chazz Palminteri,Robert De Niro,22000000,17287898,Price Entertainment,121
Drama,7.7,Peter Hedges,Johnny Depp,11000000,10032765,Paramount Pictures,118
Comedy,6.9,David Kirschner,Bette Midler,28000000,44947705,Walt Disney Pictures,96
Crime,7.9,Edwin Torres,Al Pacino,30000000,63848322,Universal Pictures,144
Comedy,7.0,Anne Fine,Robin Williams,25000000,441286195,Twentieth Century Fox,125
Action,7.8,Jeb Stuart,Harrison Ford,44000000,368875760,Warner Bros.,130
Action,6.7,Peter M. Lenkov,Sylvester Stallone,57000000,58055768,Warner Bros.,115
Action,7.6,Ebbe Roe Smith,Michael Douglas,25000000,40903593,Alcor Films,113
Crime,6.6,John Grisham,Julia Roberts,45000000,195268056,Warner Bros.,141
Drama,6.8,John Grisham,Tom Cruise,42000000,270248367,Davis Entertainment,154
Action,6.4,Zak Penn,Arnold Schwarzenegger,85000000,137298489,Columbia Pictures,130
Comedy,5.6,James Orr,Whoopi Goldberg,38000000,57319029,Touchstone Pictures,107
Comedy,8.0,Danny Rubin,Bill Murray,14600000,71074049,Columbia Pictures,101
Drama,7.7,Ron Nyswaner,Tom Hanks,26000000,206678440,TriStar Pictures,125
Adventure,4.1,Parker Bennett,Bob Hoskins,48000000,20915465,Allied Filmmakers,104
Comedy,6.8,Jeff Arch,Tom Hanks,21000000,227927165,TriStar Pictures,105
Action,6.4,John Long,Sylvester Stallone,70000000,255000211,Carolco Pictures,113
Drama,7.6,Jane Campion,Holly Hunter,7000000,40185556,CiBy 2000,121
Animation,8.0,Tim Burton,Danny Elfman,18000000,91491247,Touchstone Pictures,76
Comedy,6.1,Sam Harper,Thomas Ian Nicholas,10000000,56500758,Twentieth Century Fox,103
Crime,8.0,Ross Thomas,Damian Chapa,35000000,4496583,Hollywood Pictures,180
Biography,8.1,Gerry Conlon,Daniel Day-Lewis,13000000,65796862,Hell's Kitchen Films,133
Biography,7.1,Piers Paul Read,Ethan Hawke,32000000,36733909,Film Andes S.A.,120
Comedy,6.8,Charles Addams,Anjelica Huston,47000000,48919043,Paramount Pictures,94
Drama,6.0,Jack Engelhard,Robert Redford,38000000,266614059,Paramount Pictures,117
Action,7.2,Jeff Maguire,Clint Eastwood,40000000,176997168,Columbia Pictures,128
Drama,7.2,Edith Wharton,Daniel Day-Lewis,34000000,32255440,Columbia Pictures,139
Crime,7.5,Allen Hughes,Tyrin Turner,3500000,27912072,New Line Cinema,97
Drama,7.6,Michael Shaara,Tom Berenger,25000000,10769960,TriStar Television,271
Action,6.4,Alexandre Dumas,Charlie Sheen,30000000,53898845,Walt Disney Pictures,105
Drama,7.3,Frances Hodgson Burnett,Kate Maberly,18000000,31181347,Warner Bros.,101
Adventure,6.0,Keith Walker,Jason James Richter,20000000,153698625,Warner Bros. Family Entertainment,112
Action,4.1,Edward Neumeier,Robert John Burke,22000000,10696210,Orion Pictures,104
Drama,7.8,Kazuo Ishiguro,Anthony Hopkins,15000000,23237911,Columbia Pictures,134
Action,6.2,Chuck Pfarrer,Jean-Claude Van Damme,18000000,74189677,Universal Pictures,97
Biography,6.5,Travis Walton,D.B. Sweeney,15000000,19885552,Paramount Pictures,109
Adventure,7.0,Lynn Siefert,John Candy,14000000,154856263,Walt Disney Pictures,98
Comedy,6.8,Gary Ross,Kevin Kline,28000000,63270710,Warner Bros.,110
Crime,6.7,Stephen Levy,Brad Pitt,9000000,2395231,PolyGram Filmed Entertainment,117
Drama,5.0,Ira Levin,Sharon Stone,40000000,116300000,Paramount Pictures,107
Comedy,5.3,Tom Davis,Dan Aykroyd,33000000,21274717,Paramount Pictures,88
Comedy,6.5,Robbie Fox,Mike Myers,20000000,11585483,TriStar Pictures,93
Action,6.6,Jim Abrahams,Charlie Sheen,25000000,133752825,Twentieth Century Fox,86
Comedy,7.3,William Shakespeare,Kenneth Branagh,11000000,22549338,Renaissance Films,111
Drama,5.8,Alan Shapiro,Cary Elwes,6000000,13609396,Morgan Creek Entertainment,89
Action,6.2,Don Holley,Emilio Estevez,13000000,27979399,New Line Cinema,84
Crime,7.5,John Lee Hancock,Kevin Costner,30000000,135130999,Warner Bros.,138
Comedy,4.8,Mark Jones,Warwick Davis,900000,8556940,Trimark Pictures,92
Crime,6.4,Aaron Sorkin,Alec Baldwin,20000000,46405336,Castle Rock Entertainment,107
Biography,7.3,Tina Turner,Angela Bassett,15000000,39100956,Touchstone Pictures,118
Action,5.9,Rowdy Herrington,Bruce Willis,30000000,24107867,Columbia Pictures,102
Biography,7.4,Fred Waitzkin,Joe Mantegna,12000000,7266383,Mirage Enterprises,109
Comedy,6.9,Jerico Stone,John Goodman,13000000,9532895,Universal Pictures,99
Drama,6.4,Ian McEwan,Macaulay Culkin,17000000,60613008,Twentieth Century Fox,87
Comedy,5.0,Paul Henning,Diedrich Bader,25000000,57405220,Twentieth Century Fox,92
Comedy,4.9,John Hughes,Charles Grodin,15000000,118243066,Northern Lights Entertainment,89
Crime,6.5,Roger Avary,Eric Stoltz,1500000,418961,Davis-Films,96
Fantasy,6.7,Guillermo del Toro,Federico Luppi,2000000,621392,CNCAIMC,94
Drama,6.5,John Milius,Jason Patric,35000000,18635620,Columbia Pictures,115
Comedy,6.2,Mike Myers,Mike Myers,40000000,48198019,Paramount Pictures,95
Crime,6.6,Hilary Henkin,Gary Oldman,11500000,3275585,Polygram Filmed Entertainment,110
Action,6.3,Michael Crichton,Sean Connery,35000000,107198790,Twentieth Century Fox,129
Comedy,6.2,Mark Rosenthal,Michael J. Fox,30000000,11146270,Universal Pictures,96
Action,4.8,Kevin Eastman,Elias Koteas,21000000,42273609,Golden Harvest Company,96
Horror,6.0,Jack Finney,Gabrielle Anwar,13000000,428868,Dorset Productions,87
Adventure,6.3,Bill Apablasa,Shane McDermott,2600000,2850263,Icon Entertainment International,91
Comedy,6.4,Carol Heikkinen,River Phoenix,14000000,1029721,Paramount Pictures,116
Drama,6.9,Isabel Allende,Jeremy Irons,40000000,6265311,Constantin Film,140
Drama,6.1,Bernardo Bertolucci,Keanu Reeves,35000000,4858139,CiBy 2000,123
Action,7.0,Robert Clouse,Jason Scott Lee,14000000,63513743,Raffaella De Laurentiis Productions,120
Drama,6.1,John Singleton,Janet Jackson,14000000,27515786,Columbia Pictures,109
Drama,7.7,Amy Tan,Tamlyn Tomita,11000000,32901136,Hollywood Pictures,139
Drama,6.8,Tom Sierchio,Christian Slater,7500000,18898806,Metro-Goldwyn-Mayer (MGM),102
Animation,7.8,Alan Burnett,Kevin Conroy,6000000,5635204,Warner Bros. Animation,76
Comedy,6.4,Tim Burns,Brooke Shields,11000000,29296,Chiodo Brothers Productions,80
Comedy,7.0,Gregory Hansen,Robert Downey Jr.,25000000,16589540,Universal Pictures,104
Drama,7.0,Jane Austen,Ashley Judd,800000,1001437,Full Crew/Say Yea,114
Comedy,6.8,John Guare,Will Smith,12000000,6405918,Metro-Goldwyn-Mayer (MGM),112
Drama,8.1,Pik-Wah Lee,Leslie Cheung,4000000,6122607,Tomson Films,171
Action,6.6,Lewis Colick,Emilio Estevez,21000000,12526677,Largo Entertainment,110
Biography,7.3,William Nicholson,Anthony Hopkins,22000000,25842377,Price Entertainment,131
Comedy,7.3,David Atkins,Johnny Depp,19000000,112547,Canal+,142
Action,5.7,Joe Eszterhas,Jean-Claude Van Damme,15000000,22189039,Columbia Pictures,94
Drama,7.4,A.E. Hotchner,Jesse Bradford,8000000,1214231,Wildwood Enterprises,103
Comedy,6.2,Richard Price,Robert De Niro,19000000,11081586,Universal Pictures,97
Crime,7.0,John Dahl,Nicolas Cage,8000000,2502551,Propaganda Films,98
Action,6.5,David S. Ward,James Caan,15000000,23032565,Touchstone Pictures,112
Horror,4.6,William Davies,Karen Allen,12000000,5086909,Twentieth Century Fox,95
Comedy,7.3,Woody Allen,Woody Allen,13500000,11330911,TriStar Pictures,104
Adventure,4.8,Robert Klane,Andrew McCarthy,7000000,12741891,Artimm,97
Adventure,6.2,Mark Twain,Elijah Wood,6500000,24103594,Steve White Productions,108
Comedy,5.1,Marcia Brandwynne,Whoopi Goldberg,22000000,104942695,Canal+,111
Horror,6.0,Stephen King,Timothy Hutton,15000000,10611160,Orion Pictures,122
Action,6.6,Sheldon Lettich,Mark Dacascos,6000000,3283371,August Entertainment,99
Drama,6.8,Bruce Joel Rubin,Michael Keaton,15000000,27804899,Capella Films,117
Comedy,4.4,Tom Ropelewski,John Travolta,22000000,10340263,TriStar Pictures,96
Action,5.2,Robert Townsend,Robert Townsend,20000000,8016708,Metro-Goldwyn-Mayer (MGM),100
Comedy,6.3,Chris Rock,Chris Rock,6000000,17953778,Imagine Entertainment,89
Comedy,5.1,Paul W. Shapiro,Jason Priestley,13000000,2570550,Parkway Productions,90
Action,6.8,Le Ly Hayslip,Hiep Thi Le,33000000,5864949,Alcor Films,140
Comedy,6.6,Mike Binder,Alan Arkin,9000000,14904910,Outlaw Productions (I),97
Animation,6.5,Rae Lambert,Michael Crawford,13000000,6582052,Hanna-Barbera Productions,71
Western,5.5,Sy Richardson,Mario Van Peebles,10000000,18289763,PolyGram Filmed Entertainment,111
Comedy,4.4,Tom Robbins,Uma Thurman,8000000,1708873,New Line Cinema,106
Action,5.6,Max Strom,Eric Roberts,7000000,6608687,Picture Securities,101
Animation,7.1,Richard Williams,Vincent Price,25000000,669276,Richard Williams Productions,90
Comedy,5.4,Dean Lorey,Andrew Lowery,12000000,3335984,Touchstone Pictures,85
Action,5.4,Kevin Rock,Julian Sands,3000000,3902679,Trimark Pictures,98
Action,7.5,Tan Cheung,Rongguang Yu,11000000,14694904,Film Workshop,85
Action,3.8,Edward Rugoff,Hulk Hogan,10000000,4348572,New Line Cinema,84
Drama,7.3,Wim Wenders,Otto Sander,10500000,810455,Road Movies Filmproduktion,140
Drama,5.6,Nicholas St. John,Harvey Keitel,10000000,1261210,Cecchi Gori Europa N.V.,108
Crime,4.0,Christopher Coppola,Michael Biehn,10000000,18369,Trimark Pictures,98
Biography,7.1,Patrick Sheane Duncan,Kathy Bates,12000000,1677807,A&M Films,104
Crime,5.6,Larry Cohen,Rebecca De Mornay,12000000,22866222,Hollywood Pictures,107
Comedy,7.6,Ang Lee,Winston Chao,1000000,6933459,Ang Lee Productions,106
Drama,6.0,Patrick Hasburgh,Paul Gross,14000000,8041049,Hollywood Pictures,113
Crime,6.2,Dana Stevens,Madeleine Stowe,11000000,16696219,New Line Cinema,106
Crime,5.9,Barry Michael Cooper,Wesley Snipes,10000000,18225518,Beacon Communications,123
Comedy,5.2,John Lafia,Ally Sheedy,6000000,12974636,New Line Cinema,87
Drama,5.8,Eric Roth,Richard Gere,25000000,8345845,Rastar Productions,114
Horror,3.6,John Brosnan,Diane Ladd,850000,1753979,New Horizons Picture,83
Comedy,5.9,Amy Schor Ferris,Matt Dillon,13000000,3125424,Night Life Inc.,98
Comedy,4.1,Arne Olsen,Burt Reynolds,14000000,40689691,Imagine Films Entertainment,97
Comedy,5.7,Mark Bowden,John Cusack,11000000,1039824,Permut Presentations,100
Comedy,3.9,Maurice Richlin,Roberto Benigni,25000000,2438031,Filmauro,93
Drama,5.7,Roger Hedden,Phoebe Cates,2500000,764724,Fine Line Features,95
Drama,5.4,Bernard Taylor,Jamie Lee Curtis,8000000,737548,Miramax,96
Family,5.9,Susan Cooper,Darci Kistler,19000000,2119994,Krasnow Productions,92
Action,4.5,Wallace C. Bennett,Brad Johnson,5000000,2970,Trimark Pictures,97
Comedy,7.2,Rusty Cundieff,Larry B. Scott,999999,233824,Incorporated Television Company (ITC),88
Action,5.0,Gerald Petievich,Wesley Snipes,9000000,10058318,StudioCanal,92
Adventure,5.7,Frank Deese,Jacob Tierney,18000000,1640220,Castle Rock Entertainment,96
Comedy,6.0,Warren Leight,Matthew Broderick,8000000,1884814,Miramax,99
Drama,9.3,Stephen King,Tim Robbins,25000000,28817291,Castle Rock Entertainment,142
Crime,8.9,Quentin Tarantino,John Travolta,8000000,213928762,Miramax,154
Drama,8.8,Winston Groom,Tom Hanks,55000000,678226133,Paramount Pictures,142
Action,7.2,Claude Zidi,Arnold Schwarzenegger,115000000,378882411,Twentieth Century Fox,141
Animation,8.5,Irene Mecchi,Matthew Broderick,45000000,1083720877,Walt Disney Pictures,88
Action,6.9,Michael Fallon,Jim Carrey,23000000,351583407,New Line Cinema,101
Action,7.2,Graham Yost,Keanu Reeves,30000000,350448145,The Mark Gordon Company,116
Action,7.1,Dean Devlin,Kurt Russell,55000000,196567262,Canal+,116
Comedy,6.3,Penelope Spheeris,Travis Tedford,23000000,67308282,Universal Pictures,82
Comedy,7.3,Peter Farrelly,Jim Carrey,17000000,247275374,New Line Cinema,107
