rating,genre,score,director,star,budget,gross,company,runtime
PG,Comedy,5.9,John Hughes,Jim Belushi,25000000,33691313,Warner Bros.,101
PG,Comedy,4.4,Stewart Raffill,Kristy Swanson,13000000,3752428,Gladden Entertainment,95
G,Animation,6.1,Don Bluth,Glen Campbell,18000000,11657385,Goldcrest Films International,77
PG-13,Comedy,6.2,Stan Dragoti,Scott Bakula,13500000,26255594,Paramount Pictures,108
PG,Comedy,2.9,David Kellogg,Vanilla Ice,6000000,1193062,Alive Films,91
R,Comedy,5.8,Blake Edwards,Ellen Barkin,14000000,15545943,Beco Films,103
PG,Adventure,6.7,Randal Kleiser,Ethan Hawke,14000000,34793160,Walt Disney Pictures,107
R,Action,6.8,Wim Wenders,William Hurt,23000000,829625,Argos Films,158
PG-13,Comedy,6.5,Peter Faiman,Ed O'Neill,17000000,4603929,Twentieth Century Fox,107
R,Crime,6.5,Wolfgang Petersen,Tom Berenger,22000000,11511031,Capella International,98
R,Crime,6.0,Michael Karbelnikoff,Christian Slater,23000000,20246790,Universal Pictures,104
R,Drama,6.1,Joel Schumacher,Julia Roberts,18000000,82264675,Fogwood Films,111
PG,Comedy,5.9,Tom Mankiewicz,John Candy,18000000,5546827,Metro-Goldwyn-Mayer (MGM),96
PG,Drama,6.6,Jodie Foster,Jodie Foster,10000000,25010896,Orion Pictures,99
PG-13,Comedy,6.7,Woody Allen,Woody Allen,14000000,2735731,Jack Rollins & Charles H. Joffe Productions,85
R,Comedy,5.6,Bobcat Goldthwait,Bobcat Goldthwait,1400000,115103,IRS Media,87
R,Crime,5.9,Robert Benton,Dustin Hoffman,48000000,15565363,Touchstone Pictures,106
PG-13,Drama,6.9,Steven Soderbergh,Jeremy Irons,11000000,1059071,Baltimore Pictures,98
R,Comedy,5.8,Tom DiCillo,Brad Pitt,500000,90091,Arena,97
PG-13,Comedy,6.0,Jonathan Wacks,Ethan Hawke,10000000,6166819,Orion Pictures,97
R,Comedy,5.8,Jerry Rees,Kim Basinger,26000000,12454768,Hollywood Pictures,115
Unrated,Drama,6.4,Todd Haynes,Edith Meeks,250000,787280,Bronze Eye Productions,85
PG,Comedy,5.3,David S. Ward,John Goodman,23000000,52487045,Universal Pictures,97
R,Comedy,5.3,George Jackson,Christopher Reid,5000000,19438638,"Jackson/McHenry Company,The",94
R,Action,6.0,Mark DiSalle,Jeff Speakman,10000000,14061361,Paramount Pictures,83
R,Crime,6.5,Simon Moore,Liam Neeson,6000000,221295,Carnival Film & Television,99
G,Animation,6.8,József Gémes,Claire Bloom,10000000,2105078,Siriol Productions,82
R,Drama,6.6,Martha Coolidge,Laura Dern,7500000,6266621,Carolco Pictures,112
PG,Comedy,5.8,Nadia Tass,Martin Short,17010000,24941969,Hivemind,96
PG-13,Action,5.9,Richard Franklin,Bryan Brown,16400000,21082165,Orion Pictures,108
R,Mystery,5.7,Alan Rudolph,Demi Moore,8000000,18784957,Columbia Pictures,103
R,Comedy,5.4,Maurice Phillips,Richard Pryor,17000000,2865916,TriStar Pictures,98
R,Comedy,6.4,Mark Rydell,Bette Midler,40000000,23202444,All Girl Productions,138
PG-13,Action,4.1,Sylvio Tabet,Marc Singer,6000000,869325,Les Films 21,107
R,Action,4.9,Duncan Gibbins,Gregory Hines,13000000,5451119,Nelson Entertainment,99
R,Comedy,5.9,Bill Duke,Forest Whitaker,8000000,10438504,Palace Pictures,115
R,Comedy,5.6,Rod Daniel,Joe Pesci,22000000,11000863,Largo Entertainment,95
R,Drama,6.8,Hector Babenco,Tom Berenger,36000000,1345903,The Saul Zaentz Company,189
R,Drama,6.3,Herbert Ross,John Cusack,20000000,418807,Paramount Pictures,111
R,Crime,5.7,James Dearden,Matt Dillon,15000000,15429177,Universal Pictures,94
PG,Adventure,4.9,Matthew Robbins,Cindy Williams,10000000,8667684,TriStar Pictures,89
R,Horror,5.6,Eric Red,Jeff Fahey,10000000,9188150,Paramount Pictures,88
R,Action,5.9,Heywood Gould,Michael Keaton,4000000,11276846,Hollywood Pictures,114
R,Comedy,6.5,Lasse Hallström,Richard Dreyfuss,16000000,14851083,Cinecom Entertainment Group,115
R,Action,5.1,Sidney J. Furie,Ken Wahl,19000000,939277,Nelson Entertainment,96
R,Action,6.2,Geoff Burrowes,Patrick Dempsey,16000000,4409328,Hollywood Pictures,91
PG-13,Action,5.6,Nicholas Meyer,Gene Hackman,18000000,1501785,Pathé Entertainment,98
R,Crime,7.3,John Sayles,Vincent Spano,3000000,1345015,Esperanza Films Inc.,129
R,Mystery,5.9,Mike Figgis,Kevin Anderson,6900000,133645,Initial Entertainment Group (IEG),112
R,Drama,7.1,Radha Bharadwaj,Madeleine Stowe,4000000,259012,Imagine Entertainment,89
PG,Drama,6.4,W.D. Richter,Peter Berg,14000000,8906823,Castle Rock Entertainment,99
R,Crime,8.3,Quentin Tarantino,Harvey Keitel,1200000,2913644,Live Entertainment,99
R,Drama,7.0,Paul Verhoeven,Michael Douglas,49000000,352927224,Carolco Pictures,127
R,Horror,6.6,Bernard Rose,Virginia Madsen,6000000,25795897,Candyman Films,99
R,Comedy,7.6,Jonathan Lynn,Joe Pesci,11000000,64088552,Twentieth Century Fox,120
R,Action,7.7,Michael Mann,Daniel Day-Lewis,40000000,75505856,Morgan Creek Entertainment,112
R,Horror,7.4,Francis Ford Coppola,Gary Oldman,40000000,215862692,American Zoetrope,128
R,Drama,8.2,Clint Eastwood,Clint Eastwood,14400000,159157447,Warner Bros.,130
R,Drama,7.7,Rob Reiner,Tom Cruise,41000000,243240178,Columbia Pictures,138
PG,Comedy,7.3,Penny Marshall,Tom Hanks,40000000,132440069,Columbia Pictures,128
R,Action,6.3,Mick Jackson,Kevin Costner,25000000,411006740,Kasdan Pictures,129
R,Drama,8.0,Martin Brest,Al Pacino,31000000,134095253,Universal Pictures,156
PG-13,Action,7.0,Tim Burton,Michael Keaton,80000000,266892996,Warner Bros.,126
PG,Comedy,6.6,Stephen Herek,Emilio Estevez,10000000,50752337,Avnet/Kerner Productions,104
G,Animation,8.0,Ron Clements,Scott Weinger,28000000,504050219,Walt Disney Pictures,90
PG,Comedy,6.4,Emile Ardolino,Whoopi Goldberg,31000000,231605150,Touchstone Pictures,100
R,Action,6.5,David Fincher,Sigourney Weaver,50000000,159814498,Twentieth Century Fox,114
PG-13,Comedy,6.6,Robert Zemeckis,Meryl Streep,55000000,149022650,Universal Pictures,104
PG-13,Adventure,6.6,Ron Howard,Tom Cruise,60000000,137783840,Imagine Films Entertainment,140
R,Action,6.5,Andrew Davis,Steven Seagal,35000000,156563139,Warner Bros.,103
R,Action,6.9,Bill Duke,Laurence Fishburne,8000000,16639799,Image Organization,107
R,Drama,6.4,Barbet Schroeder,Bridget Fonda,16000000,48017402,Columbia Pictures,107
PG-13,Animation,4.9,Ralph Bakshi,Gabriel Byrne,30000000,14110589,Bakshi Animation,102
R,Crime,7.7,James Foley,Al Pacino,12500000,10725228,New Line Cinema,100
PG-13,Comedy,7.0,Penelope Spheeris,Mike Myers,20000000,183097323,Paramount Pictures,94
R,Comedy,7.5,Sam Raimi,Bruce Campbell,11000000,11502976,Dino De Laurentiis Company,81
PG,Drama,7.2,Robert Redford,Craig Sheffer,12000000,43440294,Allied Filmmakers,123
R,Drama,7.3,David Lynch,Sheryl Lee,10000000,4184990,New Line Cinema,134
R,Action,6.0,Roland Emmerich,Jean-Claude Van Damme,23000000,36299898,StudioCanal,102
PG-13,Action,5.7,Fran Rubel Kuzui,Kristy Swanson,7000000,16624456,Twentieth Century Fox,86
R,Fantasy,5.3,Mick Garris,Brian Krause,15000000,30524763,Columbia Pictures,91
PG-13,Biography,7.5,Richard Attenborough,Robert Downey Jr.,31000000,9493259,Carolco Pictures,143
PG,Adventure,6.8,Chris Columbus,Macaulay Culkin,28000000,358994850,Twentieth Century Fox,120
R,Drama,6.6,Curtis Hanson,Annabella Sciorra,11700000,88036683,Hollywood Pictures,110
PG,Drama,6.9,Kenny Ortega,Christian Bale,15000000,2819485,Touchwood Pacific Partners 1,121
PG-13,Biography,7.7,Spike Lee,Denzel Washington,33000000,48169910,Largo International N.V.,202
R,Action,6.9,Phillip Noyce,Harrison Ford,45000000,178051587,Mace Neufeld Productions,117
R,Comedy,7.5,Peter Jackson,Timothy Balme,3000000,242623,WingNut Films,104
R,Drama,5.4,Katt Shea,Drew Barrymore,3000000,1829804,New Line Cinema,93
PG-13,Comedy,7.1,Phil Alden Robinson,Robert Redford,23000000,105232691,Parkes/Lasker productions,126
R,Horror,5.4,Brett Leonard,Jeff Fahey,10000000,32100816,Allied Vision,108
R,Comedy,7.5,Robert Altman,Tim Robbins,8000000,21706101,Avenue Pictures,124
PG,Comedy,5.8,Les Mayfield,Sean Astin,7000000,40693477,Encino Man Productions,88
R,Action,6.7,Richard Donner,Mel Gibson,35000000,321731527,Warner Bros.,118
R,Biography,7.2,Edward James Olmos,Edward James Olmos,16000000,13086430,Hivemind,125
R,Action,6.9,Robert Rodriguez,Carlos Gallardo,7000,2040920,Columbia Pictures,81
R,Drama,7.2,Roman Polanski,Hugh Grant,5000000,1862805,Canal+,139
R,Fantasy,4.9,Mary Lambert,Edward Furlong,8000000,17092453,Paramount Pictures,100
NC-17,Crime,7.1,Abel Ferrara,Harvey Keitel,1000000,2038916,Bad Lt. Productions,96
G,Animation,6.5,Bill Kroyer,Samantha Mathis,24000000,32710894,FAI Films,76
PG,Comedy,6.1,Frank Oz,Steve Martin,26000000,94900635,Imagine Entertainment,102
PG-13,Drama,6.9,Robert Mandel,Brendan Fraser,18000000,14715067,Paramount Pictures,106
R,Biography,6.6,Danny DeVito,Jack Nicholson,35000000,29302121,Twentieth Century Fox,140
R,Action,7.1,Ernest R. Dickerson,Omar Epps,5000000,20146880,Island World,95
PG,Action,5.3,Jon Turteltaub,Victor Wong,6500000,29000301,Touchstone Pictures,84
R,Horror,5.5,Anthony Hickox,Terry Farrell,5000000,12534961,Fifth Avenue Entertainment,97
R,Drama,4.5,Uli Edel,Madonna,30000000,13273595,Constantin Film,99
PG,Adventure,4.9,Randal Kleiser,Rick Moranis,40000000,58662452,Touchwood Pacific Partners 1,89
PG-13,Adventure,5.8,Thom Eberhardt,Kurt Russell,24000000,22518097,Touchstone Pictures,100
R,Action,5.9,Kevin Hooks,Wesley Snipes,15000000,44065653,Warner Bros.,84
R,Horror,4.3,David Price,Terence Knox,900000,6980986,Fifth Avenue Entertainment,92
PG-13,Drama,7.0,Richard Donner,Lorraine Bracco,35000000,4651977,Columbia Pictures,114
R,Crime,6.1,Brian De Palma,John Lithgow,12000000,37170057,Pacific Western,92
PG-13,Biography,7.2,Sally Potter,Tilda Swinton,4000000,5378172,Adventure Pictures,94
R,Action,6.5,Rowdy Herrington,James Marshall,20000000,9223441,Columbia Pictures,101
R,Action,6.2,Tony Maylam,Rutger Hauer,7000000,5430822,Challenge Film Corporation,90
G,Animation,5.4,Phil Roman,Richard Kind,8000000,3560469,Turner Pictures (I),84
PG-13,Adventure,5.1,Barry Levinson,Robin Williams,43000000,23278931,Baltimore Pictures,118
PG-13,Adventure,6.5,Ridley Scott,Gérard Depardieu,47000000,7191399,Gaumont,154
PG,Drama,7.0,Christopher Cain,George Strait,10000000,15164458,Warner Bros.,112
R,Comedy,5.5,Reginald Hudlin,Eddie Murphy,42000000,131052444,Paramount Pictures,117
PG-13,Drama,7.2,John G. Avildsen,Stephen Dorff,18000000,2827107,Alcor Films,127
PG-13,Adventure,6.0,John McTiernan,Sean Connery,40000000,45500797,Hollywood Pictures,106
PG-13,Comedy,5.8,Andrew Bergman,James Caan,25000000,35208854,Castle Rock Entertainment,96
R,Crime,6.8,Michael Apted,Val Kilmer,15000000,22660758,TriStar Pictures,119
PG-13,Action,4.3,Roger Spottiswoode,Sylvester Stallone,45000000,70611210,Northern Lights Entertainment,87
R,Action,6.2,John Landis,Anne Parillaud,20000000,4943279,Warner Bros.,112
PG-13,Biography,7.3,George Miller,Nick Nolte,30000000,7286388,Universal Pictures,129
R,Drama,5.9,Phil Joanou,Richard Gere,32000000,28590665,Warner Bros.,124
PG,Adventure,6.2,Peter Hyams,John Ritter,25000000,10736401,Morgan Creek Entertainment,88
R,Crime,5.7,Alan J. Pakula,Kevin Kline,18000000,21591728,Hollywood Pictures,99
R,Action,5.9,Stuart Gordon,Christopher Lambert,8000000,6739141,Davis Entertainment,95
PG,Comedy,5.9,Eugene Levy,John Candy,18000000,8669847,Ascot Film,94
PG,Adventure,5.4,Greg Beeman,Teri Garr,14000000,2034470,Home Box Office (HBO),88
R,Action,6.9,Stanley Tong,Jackie Chan,900000,16270600,Golden Harvest Company,91
R,Crime,6.3,Bruce Robinson,Andy Garcia,20000000,11390479,Paramount Pictures,124
PG-13,Comedy,6.0,John Carpenter,Chevy Chase,40000000,14358033,Warner Bros.,99
R,Comedy,7.0,Kenneth Branagh,Hugh Laurie,5000000,4058564,British Broadcasting Corporation (BBC),101
R,Action,5.4,Geoff Murphy,Emilio Estevez,30000000,17129026,Morgan Creek Entertainment,110
R,Drama,7.1,Alfonso Arau,Marco Leonardi,2000000,21744201,Consejo Nacional para la Cultura y las Artes (CONACULTA),105
PG-13,Comedy,7.5,Peter Bogdanovich,Michael Caine,12000000,2280148,Touchstone Pictures,101
PG-13,Comedy,6.1,Randall Miller,Christopher Reid,7500000,13272113,Warner Bros.,98
R,Drama,7.0,Michael Ritchie,James Woods,17000000,4836637,Metro-Goldwyn-Mayer (MGM),98
PG-13,Action,5.9,Bruce A. Evans,Christian Slater,10000000,21142815,Dino de Laurentiis Communications,102
R,Action,5.5,Peter MacDonald,Damon Wayans,10000000,40227006,Columbia Pictures,89
R,Comedy,7.5,Woody Allen,Woody Allen,20000000,10555619,Jack Rollins & Charles H. Joffe Productions,108
R,Action,6.3,Walter Hill,Bill Paxton,14000000,13249535,Universal Pictures,101
R,Action,6.3,Dwight H. Little,Brandon Lee,10000000,14356479,Twentieth Century Fox,95
PG-13,Action,6.4,Carroll Ballard,Matthew Modine,29000000,5519569,American Zoetrope,126
PG-13,Comedy,6.5,Stephen Frears,Dustin Hoffman,42000000,19507345,Columbia Pictures,119
R,Crime,6.8,Stephen Milburn Anderson,Glenn Plummer,4000000,1373196,Enchantment Films Inc.,98
G,Comedy,7.7,Brian Henson,Michael Caine,12000000,32574382,Walt Disney Pictures,85
PG-13,Comedy,6.0,Fred Schepisi,Tom Selleck,40000000,20883046,DENTSU Music And Entertainment,108
R,Crime,5.8,Chris Menges,Goldie Hawn,14000000,3052738,Hawn / Sylbert Movie Company,100
R,Drama,6.6,Stephen Gyllenhaal,Jeremy Irons,10000000,1100218,British Screen Productions,95
R,Comedy,5.9,Jonathan Lynn,Eddie Murphy,50000000,46666502,Hollywood Pictures,112
R,Action,6.0,Roger Donaldson,Willem Dafoe,22000000,9011574,Morgan Creek Entertainment,101
R,Crime,6.1,Carl Schenkel,Christopher Lambert,9000000,923418,Cineplex Odeon Films,116
R,Crime,6.8,Paul Schrader,Willem Dafoe,5000000,1055987,Carolco Pictures,103
R,Drama,7.2,Keith Gordon,Peter Berg,5000000,1526697,A&M Films,108
PG-13,Crime,5.6,Sidney Lumet,Melanie Griffith,18000000,12282994,Hollywood Pictures,110
R,Crime,6.6,Marc Rocco,Dermot Mulroney,3000000,390152,Cinetel Films,105
R,Drama,7.4,John Sayles,Mary McDonnell,3330000,4814619,Atchafalaya,135
R,Crime,6.7,Martin Bell,Jeff Bridges,10000000,384048,Avenue Pictures,113
PG-13,Adventure,4.5,John Glen,Marlon Brando,40000000,8251071,Christopher Columbus Productions,120
R,Crime,6.5,Howard Franklin,Joe Pesci,15000000,3067917,Universal Pictures,99
R,Comedy,6.1,Howard Deutch,Ray Liotta,18000000,6375979,Orion Pictures,100
R,Drama,6.4,Arne Glimcher,Armand Assante,15500000,6742168,Alcor Films,104
PG-13,Drama,6.5,Roland Joffé,Patrick Swayze,27000000,14683921,Allied Filmmakers,132
PG-13,Drama,6.6,Jonathan Kaplan,Michelle Pfeiffer,18000000,1014726,Orion Pictures,105
R,Comedy,5.9,Billy Crystal,Billy Crystal,43000000,13351357,Castle Rock Entertainment,119
PG-13,Action,6.5,Ringo Lam,Jackie Chan,10000000,8359717,Golden Way Films Ltd.,104
Unrated,Comedy,6.5,Gregg Araki,Mike Dytri,22769,692585,Desperate Pictures,81
R,Crime,7.2,Hal Hartley,Robert John Burke,3000000,143010,American Playhouse,105
R,Crime,5.5,Tamra Davis,Drew Barrymore,800000,114516,Zeta Entertainment,97
PG-13,Comedy,5.7,Ted Kotcheff,Tom Selleck,15000000,6132924,Penta Pictures,107
R,Comedy,5.8,Irwin Winkler,Robert De Niro,20000000,6202756,Penta Films,105
R,Drama,5.6,Christopher Crowe,Annabella Sciorra,18000000,11124511,Paramount Pictures,103
PG-13,Comedy,4.7,Bob Rafelson,Jack Nicholson,30000000,4096030,Penta Entertainment,100
PG-13,Mystery,5.0,Graeme Clifford,Andie MacDowell,24000000,608866,Majestic Films International,90
R,Drama,6.8,Neal Jimenez,Eric Stoltz,2700000,1723319,No Frills Film Production,106
PG-13,Comedy,5.1,Allan Moyle,Penelope Ann Miller,13000000,3721911,In The Bag Productions,89
R,Action,7.8,George P. Cosmatos,Kurt Russell,25000000,56505065,Hollywood Pictures,130
PG-13,Action,8.1,Steven Spielberg,Sam Neill,63000000,1033928303,Universal Pictures,127
R,Comedy,7.6,Richard Linklater,Jason London,6900000,7993039,Gramercy Pictures (I),102
R,Biography,8.9,Steven Spielberg,Liam Neeson,22000000,322161245,Universal Pictures,195
R,Crime,7.9,Tony Scott,Christian Slater,13000000,13088850,Morgan Creek Entertainment,119
PG-13,Adventure,6.7,Mel Brooks,Cary Elwes,20000000,35739755,Brooksfilms,104
R,Crime,7.8,Robert De Niro,Robert De Niro,22000000,17287898,Price Entertainment,121
PG-13,Drama,7.7,Lasse Hallström,Johnny Depp,11000000,10032765,Paramount Pictures,118
PG,Comedy,6.9,Kenny Ortega,Bette Midler,28000000,44947705,Walt Disney Pictures,96
R,Crime,7.9,Brian De Palma,Al Pacino,30000000,63848322,Universal Pictures,144
PG-13,Comedy,7.0,Chris Columbus,Robin Williams,25000000,441286195,Twentieth Century Fox,125
PG-13,Action,7.8,Andrew Davis,Harrison Ford,44000000,368875760,Warner Bros.,130
R,Action,6.7,Marco Brambilla,Sylvester Stallone,57000000,58055768,Warner Bros.,115
R,Action,7.6,Joel Schumacher,Michael Douglas,25000000,40903593,Alcor Films,113
PG-13,Crime,6.6,Alan J. Pakula,Julia Roberts,45000000,195268056,Warner Bros.,141
R,Drama,6.8,Sydney Pollack,Tom Cruise,42000000,270248367,Davis Entertainment,154
PG-13,Action,6.4,John McTiernan,Arnold Schwarzenegger,85000000,137298489,Columbia Pictures,130
PG,Comedy,5.6,Bill Duke,Whoopi Goldberg,38000000,57319029,Touchstone Pictures,107
PG,Comedy,8.0,Harold Ramis,Bill Murray,14600000,71074049,Columbia Pictures,101
PG-13,Drama,7.7,Jonathan Demme,Tom Hanks,26000000,206678440,TriStar Pictures,125
PG,Adventure,4.1,Annabel Jankel,Bob Hoskins,48000000,20915465,Allied Filmmakers,104
PG,Comedy,6.8,Nora Ephron,Tom Hanks,21000000,227927165,TriStar Pictures,105
R,Action,6.4,Renny Harlin,Sylvester Stallone,70000000,255000211,Carolco Pictures,113
R,Drama,7.6,Jane Campion,Holly Hunter,7000000,40185556,CiBy 2000,121
PG,Animation,8.0,Henry Selick,Danny Elfman,18000000,91491247,Touchstone Pictures,76
PG,Comedy,6.1,Daniel Stern,Thomas Ian Nicholas,10000000,56500758,Twentieth Century Fox,103
R,Crime,8.0,Taylor Hackford,Damian Chapa,35000000,4496583,Hollywood Pictures,180
R,Biography,8.1,Jim Sheridan,Daniel Day-Lewis,13000000,65796862,Hell's Kitchen Films,133
R,Biography,7.1,Frank Marshall,Ethan Hawke,32000000,36733909,Film Andes S.A.,120
PG-13,Comedy,6.8,Barry Sonnenfeld,Anjelica Huston,47000000,48919043,Paramount Pictures,94
R,Drama,6.0,Adrian Lyne,Robert Redford,38000000,266614059,Paramount Pictures,117
R,Action,7.2,Wolfgang Petersen,Clint Eastwood,40000000,176997168,Columbia Pictures,128
PG,Drama,7.2,Martin Scorsese,Daniel Day-Lewis,34000000,32255440,Columbia Pictures,139
R,Crime,7.5,Albert Hughes,Tyrin Turner,3500000,27912072,New Line Cinema,97
PG,Drama,7.6,Ron Maxwell,Tom Berenger,25000000,10769960,TriStar Television,271
PG,Action,6.4,Stephen Herek,Charlie Sheen,30000000,53898845,Walt Disney Pictures,105
G,Drama,7.3,Agnieszka Holland,Kate Maberly,18000000,31181347,Warner Bros.,101
PG,Adventure,6.0,Simon Wincer,Jason James Richter,20000000,153698625,Warner Bros. Family Entertainment,112
PG-13,Action,4.1,Fred Dekker,Robert John Burke,22000000,10696210,Orion Pictures,104
PG,Drama,7.8,James Ivory,Anthony Hopkins,15000000,23237911,Columbia Pictures,134
R,Action,6.2,John Woo,Jean-Claude Van Damme,18000000,74189677,Universal Pictures,97
PG-13,Biography,6.5,Robert Lieberman,D.B. Sweeney,15000000,19885552,Paramount Pictures,109
PG,Adventure,7.0,Jon Turteltaub,John Candy,14000000,154856263,Walt Disney Pictures,98
PG-13,Comedy,6.8,Ivan Reitman,Kevin Kline,28000000,63270710,Warner Bros.,110
R,Crime,6.7,Dominic Sena,Brad Pitt,9000000,2395231,PolyGram Filmed Entertainment,117
R,Drama,5.0,Phillip Noyce,Sharon Stone,40000000,116300000,Paramount Pictures,107
PG,Comedy,5.3,Steve Barron,Dan Aykroyd,33000000,21274717,Paramount Pictures,88
PG-13,Comedy,6.5,Thomas Schlamme,Mike Myers,20000000,11585483,TriStar Pictures,93
PG-13,Action,6.6,Jim Abrahams,Charlie Sheen,25000000,133752825,Twentieth Century Fox,86
PG-13,Comedy,7.3,Kenneth Branagh,Kenneth Branagh,11000000,22549338,Renaissance Films,111
R,Drama,5.8,Alan Shapiro,Cary Elwes,6000000,13609396,Morgan Creek Entertainment,89
PG-13,Action,6.2,Gene Quintano,Emilio Estevez,13000000,27979399,New Line Cinema,84
PG-13,Crime,7.5,Clint Eastwood,Kevin Costner,30000000,135130999,Warner Bros.,138
R,Comedy,4.8,Mark Jones,Warwick Davis,900000,8556940,Trimark Pictures,92
R,Crime,6.4,Harold Becker,Alec Baldwin,20000000,46405336,Castle Rock Entertainment,107
R,Biography,7.3,Brian Gibson,Angela Bassett,15000000,39100956,Touchstone Pictures,118
R,Action,5.9,Rowdy Herrington,Bruce Willis,30000000,24107867,Columbia Pictures,102
PG,Biography,7.4,Steven Zaillian,Joe Mantegna,12000000,7266383,Mirage Enterprises,109
PG,Comedy,6.9,Joe Dante,John Goodman,13000000,9532895,Universal Pictures,99
R,Drama,6.4,Joseph Ruben,Macaulay Culkin,17000000,60613008,Twentieth Century Fox,87
PG,Comedy,5.0,Penelope Spheeris,Diedrich Bader,25000000,57405220,Twentieth Century Fox,92
PG,Comedy,4.9,Rod Daniel,Charles Grodin,15000000,118243066,Northern Lights Entertainment,89
R,Crime,6.5,Roger Avary,Eric Stoltz,1500000,418961,Davis-Films,96
R,Fantasy,6.7,Guillermo del Toro,Federico Luppi,2000000,621392,CNCAIMC,94
PG-13,Drama,6.5,Walter Hill,Jason Patric,35000000,18635620,Columbia Pictures,115
PG-13,Comedy,6.2,Stephen Surjik,Mike Myers,40000000,48198019,Paramount Pictures,95
R,Crime,6.6,Peter Medak,Gary Oldman,11500000,3275585,Polygram Filmed Entertainment,110
R,Action,6.3,Philip Kaufman,Sean Connery,35000000,107198790,Twentieth Century Fox,129
PG,Comedy,6.2,Barry Sonnenfeld,Michael J. Fox,30000000,11146270,Universal Pictures,96
PG,Action,4.8,Stuart Gillard,Elias Koteas,21000000,42273609,Golden Harvest Company,96
R,Horror,6.0,Abel Ferrara,Gabrielle Anwar,13000000,428868,Dorset Productions,87
PG,Adventure,6.3,Rob Bowman,Shane McDermott,2600000,2850263,Icon Entertainment International,91
PG-13,Comedy,6.4,Peter Bogdanovich,River Phoenix,14000000,1029721,Paramount Pictures,116
R,Drama,6.9,Bille August,Jeremy Irons,40000000,6265311,Constantin Film,140
PG,Drama,6.1,Bernardo Bertolucci,Keanu Reeves,35000000,4858139,CiBy 2000,123
PG-13,Action,7.0,Rob Cohen,Jason Scott Lee,14000000,63513743,Raffaella De Laurentiis Productions,120
R,Drama,6.1,John Singleton,Janet Jackson,14000000,27515786,Columbia Pictures,109
R,Drama,7.7,Wayne Wang,Tamlyn Tomita,11000000,32901136,Hollywood Pictures,139
PG-13,Drama,6.8,Tony Bill,Christian Slater,7500000,18898806,Metro-Goldwyn-Mayer (MGM),102
PG,Animation,7.8,Directors,Kevin Conroy,6000000,5635204,Warner Bros. Animation,76
PG-13,Comedy,6.4,Tom Stern,Brooke Shields,11000000,29296,Chiodo Brothers Productions,80
PG-13,Comedy,7.0,Ron Underwood,Robert Downey Jr.,25000000,16589540,Universal Pictures,104
R,Drama,7.0,Victor Nunez,Ashley Judd,800000,1001437,Full Crew/Say Yea,114
R,Comedy,6.8,Fred Schepisi,Will Smith,12000000,6405918,Metro-Goldwyn-Mayer (MGM),112
R,Drama,8.1,Kaige Chen,Leslie Cheung,4000000,6122607,Tomson Films,171
R,Action,6.6,Stephen Hopkins,Emilio Estevez,21000000,12526677,Largo Entertainment,110
PG,Biography,7.3,Richard Attenborough,Anthony Hopkins,22000000,25842377,Price Entertainment,131
R,Comedy,7.3,Emir Kusturica,Johnny Depp,19000000,112547,Canal+,142
R,Action,5.7,Robert Harmon,Jean-Claude Van Damme,15000000,22189039,Columbia Pictures,94
PG-13,Drama,7.4,Steven Soderbergh,Jesse Bradford,8000000,1214231,Wildwood Enterprises,103
R,Comedy,6.2,John McNaughton,Robert De Niro,19000000,11081586,Universal Pictures,97
R,Crime,7.0,John Dahl,Nicolas Cage,8000000,2502551,Propaganda Films,98
R,Action,6.5,David S. Ward,James Caan,15000000,23032565,Touchstone Pictures,112
R,Horror,4.6,Rachel Talalay,Karen Allen,12000000,5086909,Twentieth Century Fox,95
PG,Comedy,7.3,Woody Allen,Woody Allen,13500000,11330911,TriStar Pictures,104
PG,Adventure,4.8,Robert Klane,Andrew McCarthy,7000000,12741891,Artimm,97
PG,Adventure,6.2,Stephen Sommers,Elijah Wood,6500000,24103594,Steve White Productions,108
PG-13,Comedy,5.1,Richard Benjamin,Whoopi Goldberg,22000000,104942695,Canal+,111
R,Horror,6.0,George A. Romero,Timothy Hutton,15000000,10611160,Orion Pictures,122
PG-13,Action,6.6,Sheldon Lettich,Mark Dacascos,6000000,3283371,August Entertainment,99
PG-13,Drama,6.8,Bruce Joel Rubin,Michael Keaton,15000000,27804899,Capella Films,117
PG-13,Comedy,4.4,Tom Ropelewski,John Travolta,22000000,10340263,TriStar Pictures,96
PG,Action,5.2,Robert Townsend,Robert Townsend,20000000,8016708,Metro-Goldwyn-Mayer (MGM),100
R,Comedy,6.3,Tamra Davis,Chris Rock,6000000,17953778,Imagine Entertainment,89
PG-13,Comedy,5.1,John Whitesell,Jason Priestley,13000000,2570550,Parkway Productions,90
R,Action,6.8,Oliver Stone,Hiep Thi Le,33000000,5864949,Alcor Films,140
PG-13,Comedy,6.6,Mike Binder,Alan Arkin,9000000,14904910,Outlaw Productions (I),97
G,Animation,6.5,Charles Grosvenor,Michael Crawford,13000000,6582052,Hanna-Barbera Productions,71
R,Western,5.5,Mario Van Peebles,Mario Van Peebles,10000000,18289763,PolyGram Filmed Entertainment,111
R,Comedy,4.4,Gus Van Sant,Uma Thurman,8000000,1708873,New Line Cinema,106
R,Action,5.6,Robert Radler,Eric Roberts,7000000,6608687,Picture Securities,101
G,Animation,7.1,Richard Williams,Vincent Price,25000000,669276,Richard Williams Productions,90
